文件夹名,标准歌名,pstNote数,prsNote数,ftrNote数,bydNote数
anokumene,Anökumene,412,587,851,
arcahv,Arcahv,818,884,1065,
babaroque,Babaroque,402,645,808,
blaster,Blaster,571,635,1002,
bookmaker,Bookmaker (2D Version),538,728,1124,1287
brandnewworld,Brand new world,322,432,787,
chronostasis,Chronostasis,619,812,916,
clotho,Clotho and the stargazer,519,745,1021,
cyberneciacatharsis,Cybernecia Catharsis,377,655,946,
dandelion,Dandelion,391,698,921,
darakunosono,Illegal Paradise,535,585,1061,
dement,Dement -after legend-,548,756,970,1040
diode,Diode,452,472,709,
dl_aegleseeker,Aegleseeker,973,1235,1568,
dl_aiueoon,AI[UE]OON,436,623,989,
dl_alexandrite,Alexandrite,507,699,1040,
dl_alicealamode,Alice à la mode,436,618,872,
dl_alicessuitcase,Alice's Suitcase,644,660,999,
dl_altale,Altale,357,424,690,
dl_alterale,AlterAle,728,881,1277,
dl_amazingmightyyyy,AMAZING MIGHTYYYY!!!!,624,776,1249,
dl_amygdata,amygdata,504,711,1199,
dl_antagonism,Antagonism,431,738,1142,
dl_antithese,Antithese,845,826,877,968
dl_aprilshowers,April showers,363,544,697,
dl_ascent,Ascent,455,626,1023,
dl_astraltale,Astral tale,445,642,884,
dl_aterlbus,αterlβus,505,668,1030,
dl_attraqtia,AttraqtiA,732,1002,1433,
dl_auxesia,Auxesia,385,648,1000,
dl_avantraze,Avant Raze,580,664,1125,
dl_axiumcrisis,Axium Crisis,685,1068,1094,
dl_badtek,BADTEK,532,595,916,
dl_bassline,Can I Friend You on Bassbook? Lol,415,548,861,
dl_battlenoone,BATTLE NO.1,715,897,1042,
dl_besideyou,Beside You,526,634,703,
dl_bethere,Be There,592,792,982,
dl_blacklotus,Black Lotus,653,687,965,
dl_blackterritory,Black Territory,627,785,1195,
dl_blockedlibrary,Blocked Library,449,622,850,
dl_blossoms,Blossoms,275,383,655,
dl_blrink,BLRINK,400,683,1015,
dl_bluecomet,blue comet,494,645,776,
dl_bluerose,Blue Rose,595,669,955,
dl_buchigireberserker,BUCHiGiRE Berserker,850,1046,1412,
dl_callmyname,Call My Name feat. Yukacco,591,653,921,
dl_carminescythe,carmine scythe,493,710,1164,
dl_chelsea,Chelsea,388,503,650,
dl_climax,Climax,773,988,1367,
dl_coastalhighway,Coastal Highway,355,479,732,
dl_conflict,conflict,520,731,1056,
dl_corpssansorganes,corps-sans-organes,438,615,1077,
dl_corruption,Corruption,664,847,1293,
dl_cosmica,Cosmica,428,566,773,
dl_crossover,CROSS†OVER,653,810,1094,
dl_crosssoul,CROSS✝︎SOUL,606,823,1081,
dl_crystalgravity,Crystal Gravity,571,653,872,
dl_cyaegha,Cyaegha,760,984,1368,
dl_cyanine,Cyanine,661,947,1171,
dl_dantalion,Dantalion,731,843,1476,
dl_dataerror,DataErr0r,502,785,957,
dl_dazzlehop,Dazzle hop,561,571,1022,
dl_divinelight,Divine Light of Myriad,798,835,1021,
dl_dottodot,Dot to Dot feat. shully,453,522,739,
dl_dreadnought,Dreadnought,715,897,1099,
dl_dreamgoeson,Dream goes on,532,751,719,
dl_dropdead,dropdead,44,1323,823,
dl_dxfullmetal,DX Choseinou Full Metal Shojo,327,556,808,
dl_eccentrictale,Eccentric Tale,313,483,732,
